STN---,WBAN , YEARMODA,   TEMP, TEMP2 ,   DEWP, DEWP2 ,  SLP  , SLP2 ,  STP  , STP2 , VISIB, VISIB2 ,  WDSP,  WDSP2, MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT
726580,14922, 19910312,   33.8,24,   25.5,24, 1012.6,24,  981.5,24,   6.3,24,  17.0,24,  22.0,  32.1,   45.0 ,  30.9 , 0.13G,  0.4, 011000,
726580,14922, 19910313,   33.3,24,   16.3,24, 1016.4,24,  985.0,24,  18.3,24,  13.8,24,  21.0,  25.1,   39.0*,  27.0 , 0.00D,  0.4, 000000,
726580,14922, 19910314,   32.6,24,   17.7,24, 1021.6,24,  989.9,24,  17.8,24,   7.2,24,  15.0,  20.0,   46.0*,  21.9 , 0.00G,999.9, 000000,
726580,14922, 19910315,   34.1,24,   19.9,24, 1025.6,24,  993.9,24,  15.7,24,   6.0,24,  15.0, 999.9,   46.0 ,  21.9 , 0.00G,999.9, 000000,
726580,14922, 19910316,   34.1,24,   28.1,24, 1025.9,24,  994.3,24,  10.2,24,   5.5,24,  11.1, 999.9,   43.0 ,  24.1 , 0.01G,  0.4, 111000,
726580,14922, 19910317,   35.8,24,   33.9,24, 1022.0,24,  990.5,24,   1.4,24,   5.7,24,   8.9, 999.9,   39.9*,  30.9 , 0.02G,  0.4, 110000,
726580,14922, 19910318,   38.5,24,   31.7,24, 1015.1,24,  983.9,24,   4.5,24,   7.5,24,  15.9, 999.9,   45.0*,  34.0 , 0.00G,  0.4, 100000,
726580,14922, 19910319,   43.1,24,   30.8,24, 1014.1,24,  983.1,24,  12.9,24,   6.8,24,  13.0,  15.9,   62.1*,  30.0 , 0.00G,999.9, 000000,
726580,14922, 19910320,   44.4,24,   34.8,24, 1007.6,24,  976.9,24,  12.3,24,   9.1,24,  17.1,  26.0,   62.1 ,  30.0 , 0.00G,999.9, 010000,
726580,14922, 19910321,   43.1,24,   41.4,24,  998.0,24,  967.5,24,   1.8,24,   9.7,24,  17.1,  22.9,   50.0 ,  36.0 , 0.29G,999.9, 110000,
726580,14922, 19910322,   37.7,24,   36.8,24, 1006.0,24,  975.1,24,   1.4,24,  10.4,24,  17.1,  22.9,   44.1 ,  35.1 , 0.08G,999.9, 110000,
726580,14922, 19910323,   36.9,24,   34.6,24,  991.6,24,  961.2,24,   8.7,24,  16.4,24,  22.9,  31.1,   41.0 ,  34.0 , 0.82G,999.9, 110010,
